hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
72da628d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.12101870777917194,0.008812578614702778,0.33795237671563905,0.2857142857142857,13.732496817363545
72da628d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,5,7,TURN,RIVER,CARD_REVEAL,0.0798815674772551,0.049474998956926974,-0.14713706378676883,0.6428571428571429,1.6145845206949905
72da628d,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,7,9,RIVER,RIVER,ACTION,0.09090909090909088,0.017859103105557196,0.5183877101629026,0.21428571428571427,5.090350303246908
4fa25813,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.21710922826586193,0.030610890444309796,0.06923820047866558,0.42857142857142855,7.092548603277236
516f4361,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.17941458385171424,0.030620691516920324,0.06440352609000032,0.7142857142857143,5.859259701975498
2749f9cd,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.11022188345939969,0.00636453639621,-0.1628980658112269,0.2857142857142857,17.31813231911682
2749f9cd,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.07428459294959909,0.019901165157574806,0.8045697029699579,0.35714285714285715,3.732675567557149
3dd7eccd,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.13856406460551016,0.011079323253150737,-0.18914466651348955,0.14285714285714285,12.506545881861992
3dd7eccd,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.07428459294959909,0.02471770397237298,-0.838179727352648,0.6428571428571429,3.005319306058002
5845bb18,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.14588070173371798,0.011895341703394739,0.44202324781968466,0.5714285714285714,12.26368316028164
5845bb18,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.12145808378079442,0.023805841561521823,-0.5812125159976982,0.21428571428571427,5.102028570042707
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.4221454757794858,0.010391649117670414,0.19244789037505036,0.42857142857142855,40.62353058684893
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.15407825378103565,0.02159214784050623,0.31257587683921106,0.6428571428571429,7.135846554921665
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.15690125052310736,0.007464878065603092,0.06110817386911602,0.21428571428571427,21.018595232798518
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,5,7,TURN,TURN,ACTION,0.15690125052310736,0.01611620795988356,0.08053736803257659,0.35714285714285715,9.735618385768273
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,7,8,TURN,RIVER,CARD_REVEAL,0.13302872643872438,0.007958858645324364,0.26923268910430154,0.35714285714285715,16.71454819930437
93304501,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,8,10,RIVER,RIVER,ACTION,0.08307642040984978,0.01134899666604209,-0.5625841028050267,0.21428571428571427,7.320155504003888
ad578cae,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.20887205835378314,0.011751838057579818,-0.3958428511310836,0.21428571428571427,17.773565065344204
ad578cae,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.09266784655078576,0.020058371149623177,0.49768511502419893,0.2857142857142857,4.61990885797956
342b7c83,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.11791990489206751,0.030362352454252933,-0.004749768371799266,0.5,3.8837539044360234
e4ec3746,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.18988001940358934,0.014654624239354245,-0.3721071901440697,0.2857142857142857,12.957003625768598
e4ec3746,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.1227657729223486,0.022060880046198127,0.1441229708921515,0.35714285714285715,5.564862900539886
37274b0c,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.0960459563582051,0.008115102437863897,0.046923184756370376,0.6428571428571429,11.835458282087547
37274b0c,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.11898227250211764,0.023188719686398847,-0.28170379483410224,0.35714285714285715,5.131041045440112
37274b0c,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,4,6,FLOP,TURN,CARD_REVEAL,0.14037140816920288,0.07567469244409866,-0.28747099435457907,0.42857142857142855,1.8549319942449196
37274b0c,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,6,8,TURN,TURN,ACTION,0.0755482930423888,0.021858908971293084,-0.37365565980622406,0.2857142857142857,3.4561785833686867
3b7b0757,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.19324403156917105,0.030620691516920324,0.175603384787689,0.42857142857142855,6.31089704366698
4573aae3,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.16785626377538393,0.011213076321313147,0.321676194645785,0.42857142857142855,14.969688867303324
4573aae3,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.09748913904330551,0.021941840023230214,0.4776007196329945,0.5,4.443070359645866
1da9cb9f,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.1818181818181818,0.015677170209777783,-0.18858500597366817,0.35714285714285715,11.59764035124034
1da9cb9f,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.1965808126871572,0.023568141720541985,-0.06626209092809004,0.5,8.340955134185121
1da9cb9f,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.09171674740474678,0.007541798485502486,-0.2029577197945603,0.21428571428571427,12.161124111318122
1da9cb9f,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,5,7,TURN,RIVER,CARD_REVEAL,0.10296412946234408,0.07846857238330773,-0.5796997589309494,0.5714285714285714,1.312170291048231
1da9cb9f,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,7,9,RIVER,RIVER,ACTION,0.09523809523809522,0.01999639922606629,-0.025992488035280627,0.21428571428571427,4.762762243411688
5b6c6c0b,cot_qwen8b_t02_s123_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.1207259704667157,0.010286496510979048,0.1994738708486005,0.6428571428571429,11.736354582715474
