bucket,hand_id,decision_idx,head_idx,rank,src_position,src_token,attn_weight,entropy_over_seq,seq_len
clean_check_or_call,5db85f5e,2,22,3,298,.,0.1094,3.0363,315
clean_check_or_call,5db85f5e,2,22,4,302, best,0.0635,3.0363,315
clean_check_or_call,5db85f5e,2,22,5,290, betting,0.0374,3.0363,315
clean_check_or_call,5db85f5e,2,22,6,277,.,0.0330,3.0363,315
clean_check_or_call,5db85f5e,2,22,7,305, see,0.0309,3.0363,315
clean_check_or_call,5db85f5e,2,9,0,309,JSON,0.1973,2.6867,315
clean_check_or_call,5db85f5e,2,9,1,0,<s>,0.1592,2.6867,315
clean_check_or_call,5db85f5e,2,9,2,312,action,0.1206,2.6867,315
clean_check_or_call,5db85f5e,2,9,3,308,".

",0.0962,2.6867,315
clean_check_or_call,5db85f5e,2,9,4,310,:,0.0933,2.6867,315
clean_check_or_call,5db85f5e,2,9,5,311," {""",0.0825,2.6867,315
clean_check_or_call,5db85f5e,2,9,6,314," """,0.0679,2.6867,315
clean_check_or_call,5db85f5e,2,9,7,313,""":",0.0349,2.6867,315
clean_check_or_call,5db85f5e,2,15,0,0,<s>,0.1562,4.0607,315
clean_check_or_call,5db85f5e,2,15,1,299, Checking,0.0664,4.0607,315
clean_check_or_call,5db85f5e,2,15,2,7,.,0.0593,4.0607,315
clean_check_or_call,5db85f5e,2,15,3,308,".

",0.0566,4.0607,315
clean_check_or_call,5db85f5e,2,15,4,312,action,0.0413,4.0607,315
clean_check_or_call,5db85f5e,2,15,5,314," """,0.0366,4.0607,315
clean_check_or_call,5db85f5e,2,15,6,298,.,0.0272,4.0607,315
clean_check_or_call,5db85f5e,2,15,7,307, turn,0.0254,4.0607,315
clean_check_or_call,7f799478,1,22,0,279, check,0.2871,3.1845,293
clean_check_or_call,7f799478,1,22,1,280, and,0.0737,3.1845,293
clean_check_or_call,7f799478,1,22,2,286,".

",0.0737,3.1845,293
clean_check_or_call,7f799478,1,22,3,285, does,0.0532,3.1845,293
