hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
a81fec3f,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.26211653886392927,0.006928864986999296,0.2586703592894899,0.6428571428571429,37.829650217711176
4ba29c08,sanity_70b_t02_s123_informative_enriched.jsonl,1,7,PREFLOP,FLOP,CARD_REVEAL,0.1333257077229754,0.03444552123198413,0.24644710458937566,0.5,3.870625351407857
7c4b615c,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2322308962941755,0.015183580660209167,-0.3236807189794491,0.42857142857142855,15.2948702609241
7c4b615c,sanity_70b_t02_s123_informative_enriched.jsonl,2,4,FLOP,TURN,CARD_REVEAL,0.20836207942290477,0.09491597658783667,-0.9242603109823129,0.2857142857142857,2.1952266300508785
34962ff7,sanity_70b_t02_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.09428090415820632,0.0247601995417408,0.5034223165710505,0.7857142857142857,3.8077602726612665
34962ff7,sanity_70b_t02_s123_informative_enriched.jsonl,3,7,PREFLOP,FLOP,CARD_REVEAL,0.1452390623111353,0.049273193051995415,0.8568733490528971,0.6428571428571429,2.947628381985964
86e9387d,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2588171258322606,0.011187413494908078,0.5697430500276458,0.7142857142857143,23.134670578687423
86e9387d,sanity_70b_t02_s123_informative_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.15076037670919057,0.031479559057374804,0.8750126542208145,0.8571428571428571,4.789151475546844
18bdd588,sanity_70b_t02_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.046029878457026815,0.024981515887956343,0.14790066387994855,0.5,1.842557459822442
5eb8e85e,sanity_70b_t02_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.2867245544270685,0.025687033456560864,-0.8941030935415692,0.21428571428571427,11.162229181191597
e33e402f,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.25907975472049966,0.010148643104454775,0.1563237837093298,0.7857142857142857,25.5285117482135
e33e402f,sanity_70b_t02_s123_informative_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.0,0.031802073444750265,,1.0,0.0
2ea7de16,sanity_70b_t02_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.10532064503982559,0.024365146802437742,-0.728262366804751,0.42857142857142855,4.32259431448565
2ea7de16,sanity_70b_t02_s123_informative_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.18166786961829628,0.026843078086358045,0.19427337388794247,0.7142857142857143,6.767773391480835
1a9035f0,sanity_70b_t02_s123_informative_enriched.jsonl,1,5,PREFLOP,PREFLOP,ACTION,0.044407971145218605,0.05196880237091438,0.24100351941887493,0.42857142857142855,0.8545121134073435
88ec898e,sanity_70b_t02_s123_informative_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.04166666666666667,0.02503471399263933,0.00439993314381882,0.8571428571428571,1.6643556095315268
88ec898e,sanity_70b_t02_s123_informative_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.05892556509887895,0.0274676494766958,-0.7383591924515935,0.7142857142857143,2.1452714819618177
0b98ec20,sanity_70b_t02_s123_informative_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.16191571256443296,0.017143855036560268,0.27196408465895267,0.8571428571428571,9.444533462231119
0b98ec20,sanity_70b_t02_s123_informative_enriched.jsonl,2,4,FLOP,TURN,CARD_REVEAL,0.0292981561208808,0.06470895484381912,0.3067058774516858,0.35714285714285715,0.45276818628263327
